time,temp,press,alt
0,11.3,984.6,288.15
60,11.8,984.5,288.68
120,13.1,985.6,279.93
179,13.2,986.6,270.75
239,13.2,987.5,263.10
299,13.0,988.1,258.68
358,12.9,988.8,252.23
418,12.8,989.8,244.17
478,12.5,990.9,234.30
537,12.2,992.1,224.15
597,12.3,992.7,219.34
657,12.1,993.3,213.65
717,11.1,993.8,209.49
776,11.1,995.0,199.64
836,10.6,995.7,193.73
896,10.2,996.9,184.05
955,10.0,998.0,173.75
1015,9.5,999.4,163.07
1075,8.8,999.9,158.50
1134,7.8,1000.5,152.91
1194,7.1,1001.3,147.02
1254,7.0,1001.9,141.92
1313,6.4,1002.6,135.78
1373,6.1,1002.5,137.03
1433,6.4,1002.4,137.42
1492,6.5,1002.4,137.38
1552,6.4,1002.4,137.18
