time,temp,press,alt
776,5.9,1004.4,120.73
836,5.6,1003.4,128.62
896,4.6,1002.7,135.53
955,4.7,1001.7,142.98
1015,6.1,1001.2,146.74
1075,6.8,1000.7,151.51
1134,6.2,999.3,163.48
1194,6.6,998.5,170.52
1254,6.9,997.7,176.94
1313,6.9,997.0,183.20
1373,7.0,996.2,189.17
1432,6.9,995.2,197.42
1492,7.5,994.6,203.09
1552,7.4,994.3,205.38
1611,8.1,993.7,210.97
1671,8.0,993.5,212.20
1730,8.5,992.8,218.09
1790,9.2,992.4,221.96
1850,9.7,991.4,230.14
1909,10.7,990.7,236.66
1969,10.7,990.6,237.37
2029,11.5,990.0,241.70
2088,11.5,989.4,246.84
2148,12.2,988.7,253.13
2208,12.3,988.2,256.88
2268,12.1,987.2,265.95
2327,11.8,986.8,269.53
2387,12.1,985.8,277.11
2447,11.8,985.0,284.25
2507,11.3,984.1,292.06
2567,11.5,983.0,301.95
2626,12.5,982.3,307.87
2686,12.0,981.5,314.42
2746,12.1,980.5,322.18
2806,12.4,979.7,329.40
2865,12.9,979.4,332.54
2925,13.1,979.6,330.70
2985,12.9,979.7,329.80
3045,12.9,979.6,330.44
3104,13.1,979.5,330.91
3164,12.9,979.5,331.31
3224,12.7,979.5,331.38
3284,12.8,979.4,332.58
3343,12.8,979.4,332.24
3403,12.8,979.4,332.29
3463,12.9,979.4,332.20
3522,12.8,979.4,332.28
3582,12.7,979.5,331.07
3642,12.4,980.4,323.47
